movieCd,rating
20080814,9.31
20080846,8.42
20080893,
20080894,
20080897,
20080899,8.74
20080901,7.43
20080902,7.73
20080904,8.35
20080970,8.31
20080975,9.05
20080983,9.5
20080984,
20081002,8.14
20081003,6.19
20081006,
20081034,
20081056,9.02
20081057,9.4
20081065,9.25
20081066,3.69
20081067,9.21
20081068,0.0
20081069,5.31
20081136,8.52
20081146,5.5
20081209,8.32
20081287,
20081331,
20081374,9.15
20081375,
20081377,8.73
20081391,6.71
20081462,8.96
20081482,
20081555,8.79
20081646,9.27
20081662,7.65
20081682,
20081697,
20081727,
20081740,6.33
20081751,10.0
20088318,
20088379,6.56
20088397,8.3
20088506,6.37
20088535,8.72
20088550,
20088785,
20088973,
20090024,
20090035,
20090060,
20090065,8.96
20090074,7.47
20090075,6.84
20090105,7.62
20090155,6.11
20090161,8.83
20090179,8.38
20090188,8.1
20090235,8.97
20090237,8.7
20090248,
20090261,7.85
20090317,5.85
20090340,8.64
20090425,
20090481,8.95
20090557,7.42
20090610,7.52
20090664,8.27
20090667,
20090672,8.0
20090683,8.41
20090718,
20090730,
20090785,9.2
20090786,7.96
20090796,8.65
20090811,9.09
20090834,9.63
20090838,8.73
20090839,7.5
20090852,
20090862,
20090868,
20090912,9.27
20090927,7.38
20090928,7.54
20098169,7.88
20098360,7.13
20098561,7.75
20098728,
20098913,
2009A382,8.38
2009A893,8.25
2009B123,8.0
2009B424,8.8
20100019,
20100034,5.28
20100040,8.75
20100053,8.52
20100055,6.41
20100141,
20100158,
20100180,
20100190,
20100191,
20100202,8.1
20100211,8.41
20100213,8.68
20100215,7.63
20100264,6.11
20100265,
20100268,
20100312,9.22
20100316,9.01
20100359,7.63
20100368,
20100369,
20100477,
20100509,7.4
20100510,7.63
20100511,7.83
20100513,9.24
20100514,7.0
20100515,10.0
20100517,8.73
20100575,9.0
20100576,
20100586,
20100662,
20100669,
20100684,
20100712,9.92
20100752,9.05
20100787,8.15
20100793,3.08
20100962,9.33
20100975,8.62
20100987,
20101020,9.27
20101021,
20101023,7.13
20101044,
20101110,
20101123,8.75
20101125,9.0
20101128,4.5
20101131,7.71
20101178,8.68
20101198,8.67
20101199,7.93
20101218,6.9
20101224,8.19
20101229,
20101232,8.4
20101236,8.57
20101237,7.67
20101243,8.0
20101244,5.16
20101245,
20101247,6.88
20101249,8.54
20101259,
20101323,7.0
20101339,8.46
20101343,6.3
20101344,9.2
20101352,9.34
20101365,0.0
20101371,
20101381,
20101391,9.08
20101392,8.59
20101395,
20101406,
20101408,8.06
20101409,
20101410,9.08
20108090,
20108129,7.56
20108486,5.0
20108509,
20108723,8.56
